year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,severerisk,conditions,farmgate_corngrains_price,wholesale_corngrits_price,wholesale_corngrains_price
2025,4,20995.29,1615.38,816.74,1641.61,1780.0,32.62,25.19,82.89,8.42,7.23,20.6,19.23,115.91,1009.69,9.91,28.09,1.38,17.21,35.49,23.47
2025,5,21117.06,1645.99,824.43,1673.78,1788.74,32.01,25.09,83.78,9.47,7.33,22.9,18.18,131.95,1009.07,10.25,28.15,1.47,17.17,35.84,23.48
2025,6,22006.2,1649.12,818.23,1678.28,1774.18,31.24,24.65,83.22,9.99,6.78,21.68,18.58,149.82,1009.38,9.88,27.59,1.68,16.91,35.0,24.06
2025,7,22266.43,1648.12,818.57,1672.62,1778.69,31.14,24.62,83.14,9.7,7.39,22.3,19.43,156.18,1009.32,9.91,28.04,1.43,16.27,34.11,23.01
2025,8,22571.98,1651.77,823.52,1671.71,1794.0,31.37,24.62,82.53,9.86,6.64,22.12,18.93,155.13,1009.51,9.65,27.33,1.4,15.78,34.0,22.51
2025,9,23397.82,1660.04,829.41,1673.73,1807.53,31.59,24.74,82.67,10.89,6.85,21.53,18.05,130.29,1009.06,9.67,28.74,1.43,16.02,33.94,22.66
2025,10,23698.89,1659.88,823.99,1676.08,1820.19,31.19,24.82,83.95,7.12,7.08,23.16,18.0,72.68,1008.42,9.85,27.78,1.51,15.96,33.77,23.04
2025,11,23925.29,1654.91,830.69,1671.0,1810.65,30.33,24.49,83.85,7.54,7.63,23.86,19.68,59.95,1009.02,9.76,24.65,1.7,16.14,33.46,22.46
2025,12,22752.6,1659.45,831.13,1674.43,1809.28,29.35,23.89,83.31,8.91,8.19,24.95,21.09,49.97,1010.64,9.66,20.84,1.4,16.62,34.12,24.83
2026,1,22880.42,1664.82,830.88,1684.36,1797.41,29.48,23.5,81.08,7.28,7.2,26.29,21.08,51.19,1010.87,9.88,20.52,1.78,17.02,34.83,23.11
2026,2,23954.55,1661.2,831.18,1681.57,1815.58,29.57,23.75,81.41,6.12,7.37,22.28,21.69,52.46,1009.95,9.72,22.72,1.81,17.1,35.32,23.86
2026,3,23709.78,1677.44,829.87,1695.7,1842.37,32.15,24.5,79.39,9.77,7.07,22.27,20.19,61.98,1009.17,9.95,24.69,1.51,17.46,35.99,24.29
2026,4,23663.86,1683.93,833.62,1686.1,1848.0,32.72,25.31,83.28,8.36,7.14,19.43,19.47,116.68,1009.78,9.8,28.4,1.36,17.48,36.36,24.23
2026,5,23772.07,1716.78,841.29,1721.11,1854.92,32.21,25.22,84.01,9.38,7.22,22.68,18.37,131.49,1008.99,10.19,28.21,1.45,17.48,36.71,24.3
2026,6,24667.52,1721.34,834.61,1726.25,1840.23,31.33,24.72,83.38,9.91,6.59,20.87,18.82,149.22,1009.43,9.78,27.73,1.67,17.39,35.88,25.12
2026,7,24952.66,1721.52,835.16,1720.96,1845.84,31.13,24.69,83.48,9.75,7.3,21.69,19.72,155.42,1009.31,9.81,28.17,1.42,16.68,34.95,23.89
2026,8,25292.73,1724.35,841.1,1719.25,1864.37,31.41,24.71,82.83,9.78,6.45,21.51,19.2,154.95,1009.52,9.53,27.32,1.38,16.07,34.9,23.27
2026,9,26086.38,1733.36,847.45,1720.26,1877.83,31.65,24.85,83.08,10.85,6.73,20.51,18.3,131.0,1009.02,9.58,29.14,1.43,16.28,34.83,23.42
2026,10,26421.64,1729.95,840.73,1722.45,1889.52,31.33,24.97,84.37,7.02,6.97,22.21,18.18,73.17,1008.28,9.74,28.2,1.5,16.21,34.63,23.87
2026,11,26656.36,1723.03,846.55,1716.33,1875.33,30.41,24.61,84.23,7.52,7.59,22.94,19.91,60.49,1008.96,9.66,24.76,1.68,16.46,34.27,23.22
2026,12,25356.92,1731.62,847.57,1721.92,1876.22,29.5,23.98,83.41,8.91,8.15,24.45,21.41,47.93,1010.78,9.56,20.83,1.39,17.04,34.99,26.01
2027,1,25480.93,1739.8,848.39,1733.95,1864.38,29.59,23.56,81.16,7.19,6.83,26.01,21.2,51.77,1010.92,9.82,20.6,1.75,17.46,35.73,23.8
2027,2,26776.55,1733.19,848.72,1728.47,1885.88,29.47,23.84,82.05,6.06,7.34,21.31,22.02,52.47,1009.83,9.58,23.0,1.81,17.39,36.18,24.71
2027,3,26424.71,1749.53,846.69,1742.23,1912.49,32.24,24.61,79.68,9.75,7.0,21.29,20.47,60.65,1009.05,9.86,24.9,1.5,17.69,36.82,25.11
