year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,severerisk,conditions,retail_corngrits_price,wholesale_corngrits_price,wholesale_corngrains_price
2016,9,5232.01,878.56,528.2,1106.44,939.38,31.38,23.72,77.39,9.18,9.35,31.82,15.33,141.97,1010.59,10.03,25.34,1.06,26.89,24.45,18.44
2016,10,5344.11,866.92,522.2,1098.18,929.36,30.81,23.73,78.68,5.41,9.45,33.11,15.52,83.09,1010.39,10.27,23.91,1.03,26.74,24.36,18.7
2016,11,5397.19,857.97,523.19,1089.36,922.15,29.94,23.4,78.56,5.33,9.82,34.13,17.19,70.62,1010.97,10.14,22.19,1.28,26.65,24.24,18.3
2016,12,-1158.38,867.17,534.92,1096.52,917.32,28.8,22.82,78.38,6.6,10.05,34.45,18.55,64.95,1012.28,10.06,18.84,1.08,27.31,24.79,18.88
2017,1,-994.41,861.64,536.47,1097.56,910.81,29.01,22.63,76.95,5.9,9.98,34.71,19.0,65.49,1012.27,10.2,19.09,1.64,28.48,25.89,19.25
2017,2,-1239.12,844.69,510.52,1085.31,905.43,29.27,22.6,75.62,4.71,9.38,31.55,19.11,68.05,1012.2,10.21,19.47,1.3,28.92,26.5,20.15
2017,3,-210.03,850.23,517.75,1093.87,919.06,31.78,23.27,73.41,7.64,9.27,32.66,17.66,75.47,1011.28,10.36,21.67,1.22,29.74,27.06,19.84
2017,4,-337.41,861.1,525.93,1101.11,929.62,32.35,24.18,77.66,6.06,9.5,28.94,16.89,127.2,1011.39,10.24,25.75,1.07,29.97,27.35,20.4
2017,5,-300.93,870.85,531.26,1107.9,940.75,31.52,24.14,79.3,7.22,9.78,32.59,15.7,140.13,1010.82,10.58,25.6,1.03,28.93,26.59,19.67
2017,6,4569.37,871.18,530.64,1112.5,936.44,30.79,23.51,77.67,8.22,9.24,31.61,16.39,161.9,1011.31,10.19,24.45,1.25,28.9,26.3,19.48
2017,7,4581.66,861.63,521.28,1105.35,922.5,30.5,23.52,78.13,8.01,9.68,31.54,17.19,168.62,1011.43,10.18,25.11,0.98,28.39,25.64,18.74
2017,8,4722.59,857.78,520.9,1101.43,918.68,30.84,23.52,77.32,7.85,9.19,32.46,16.44,167.86,1011.5,9.89,24.54,1.04,27.81,25.18,18.54
2017,9,4985.98,851.36,515.57,1096.32,912.12,31.16,23.49,76.49,8.92,9.48,31.76,15.6,144.11,1011.01,9.88,25.18,0.98,27.65,25.06,19.0
2017,10,5135.24,837.5,509.21,1086.14,901.11,30.69,23.54,77.75,4.99,9.6,33.03,15.74,84.31,1010.82,10.11,23.77,0.95,27.43,24.94,19.26
2017,11,5196.69,827.64,512.23,1075.74,895.3,29.76,23.22,77.76,5.06,9.99,33.98,17.45,72.37,1011.45,9.98,21.89,1.19,27.34,24.81,18.77
2017,12,-1225.75,839.82,524.86,1085.65,891.36,28.68,22.63,77.33,6.3,10.19,34.85,18.82,63.68,1012.91,9.91,18.52,1.0,28.01,25.36,19.33
2018,1,-1025.84,840.01,529.33,1092.6,884.22,28.85,22.43,76.05,5.61,10.05,35.2,19.11,67.28,1012.74,10.08,18.9,1.54,29.32,26.57,19.75
2018,2,-1396.51,816.22,495.71,1073.07,876.3,28.88,22.34,74.86,4.29,9.53,31.45,19.46,69.23,1012.68,10.01,19.06,1.23,29.64,27.11,20.78
2018,3,-406.13,821.99,505.4,1082.86,893.17,31.61,23.03,72.26,7.37,9.42,32.76,17.95,75.07,1011.69,10.21,21.35,1.14,30.52,27.67,20.37
2018,4,-574.21,831.05,514.32,1088.61,901.43,32.21,24.01,76.85,5.7,9.65,28.59,17.13,129.05,1011.95,10.07,25.66,0.98,30.77,27.98,20.95
2018,5,-527.32,842.66,520.69,1096.37,912.79,31.43,24.01,78.51,6.86,9.91,33.19,15.92,140.7,1011.23,10.46,25.35,0.95,29.5,27.09,19.99
2018,6,4490.06,845.71,521.12,1103.09,910.81,30.61,23.26,76.54,7.88,9.33,31.63,16.62,162.41,1011.87,10.03,24.06,1.17,29.64,26.9,20.11
2018,7,4489.4,835.58,510.65,1096.21,895.65,30.19,23.28,77.33,7.82,9.85,31.64,17.44,168.77,1011.97,10.03,24.85,0.9,29.27,26.38,19.33
2018,8,4656.01,832.13,509.61,1092.12,890.94,30.62,23.3,76.39,7.42,9.27,32.87,16.69,168.7,1012.0,9.72,24.14,0.95,28.61,25.81,19.02
