year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,severerisk,conditions,farmgate_corngrains_price,wholesale_corngrits_price,wholesale_corngrains_price
2025,4,1104.71,1699.63,859.76,1745.05,1865.7,32.62,25.19,82.89,8.51,7.19,20.62,19.23,115.91,1009.69,9.91,28.17,1.38,17.44,37.27,40.41
2025,5,1111.94,1719.38,868.66,1754.6,1859.31,32.01,25.09,83.78,9.62,7.3,22.87,18.18,131.95,1009.07,10.25,28.12,1.47,17.33,37.51,40.47
2025,6,5072.7,1720.18,870.0,1758.58,1859.46,31.24,24.65,83.22,10.15,6.76,22.15,18.58,149.82,1009.38,9.88,27.66,1.68,16.67,36.84,40.83
2025,7,5074.16,1726.47,863.72,1766.25,1875.59,31.14,24.62,83.14,9.66,7.33,21.99,19.43,156.18,1009.32,9.91,28.27,1.43,16.23,35.89,39.97
2025,8,5184.56,1741.61,870.04,1772.61,1883.65,31.37,24.62,82.53,10.0,6.6,22.37,18.93,155.13,1009.51,9.65,27.41,1.4,16.02,35.55,40.24
2025,9,5327.82,1743.46,868.09,1781.48,1898.51,31.59,24.74,82.67,10.97,6.8,21.91,18.05,130.29,1009.06,9.67,28.82,1.43,15.78,35.51,39.65
2025,10,5474.52,1743.55,866.61,1777.1,1906.07,31.19,24.82,83.95,7.28,7.03,23.34,18.0,72.68,1008.42,9.85,27.85,1.51,15.41,35.14,40.08
2025,11,5559.43,1744.96,877.81,1771.73,1907.75,30.33,24.49,83.85,7.65,7.57,24.34,19.68,59.95,1009.02,9.76,24.51,1.7,15.74,34.96,40.17
2025,12,393.75,1756.48,890.36,1786.12,1905.17,29.35,23.89,83.31,8.99,8.14,25.11,21.09,49.97,1010.64,9.66,21.15,1.4,16.39,35.41,40.24
2026,1,575.94,1754.9,888.52,1784.51,1894.09,29.48,23.5,81.08,7.47,7.21,26.53,21.08,51.19,1010.87,9.88,20.77,1.78,17.06,36.38,40.55
2026,2,321.69,1771.0,913.9,1790.59,1949.46,29.57,23.75,81.41,6.25,7.27,21.77,21.69,52.46,1009.95,9.72,23.19,1.81,17.09,36.9,42.11
2026,3,1194.66,1782.64,876.8,1816.7,1962.2,32.15,24.5,79.39,9.84,7.03,22.42,20.19,61.98,1009.17,9.95,24.94,1.51,16.73,37.74,42.59
2026,4,1039.26,1800.5,893.53,1826.53,1967.85,32.72,25.31,83.28,8.46,7.1,19.5,19.47,116.68,1009.78,9.8,28.57,1.36,17.85,38.52,43.04
2026,5,1046.51,1821.5,903.27,1835.75,1958.34,32.21,25.22,84.01,9.55,7.18,22.65,18.37,131.49,1008.99,10.19,28.26,1.45,17.8,38.72,43.05
2026,6,5138.48,1822.24,905.63,1840.43,1959.58,31.33,24.72,83.38,10.08,6.56,21.41,18.82,149.22,1009.43,9.78,27.84,1.67,17.17,38.06,43.74
2026,7,5124.76,1828.72,897.4,1849.19,1977.43,31.13,24.69,83.48,9.69,7.24,21.28,19.72,155.42,1009.31,9.81,28.5,1.42,16.71,37.08,42.76
2026,8,5249.74,1846.29,905.37,1857.17,1987.87,31.41,24.71,82.83,9.94,6.41,21.8,19.2,154.95,1009.52,9.53,27.45,1.38,16.4,36.75,43.16
2026,9,5251.93,1846.59,901.48,1866.35,2003.39,31.65,24.85,83.08,10.93,6.67,20.95,18.3,131.0,1009.02,9.58,29.3,1.43,16.16,36.82,42.22
2026,10,5436.07,1845.66,899.29,1859.97,2008.64,31.33,24.97,84.37,7.21,6.92,22.39,18.18,73.17,1008.28,9.74,28.36,1.5,15.6,36.29,42.77
2026,11,5536.51,1845.58,911.58,1851.91,2008.78,30.41,24.61,84.23,7.63,7.52,23.43,19.91,60.49,1008.96,9.66,24.67,1.68,16.14,36.12,42.91
2026,12,454.18,1858.04,924.36,1868.51,2006.26,29.5,23.98,83.41,8.98,8.09,24.63,21.41,47.93,1010.78,9.56,21.23,1.39,16.91,36.61,43.0
2027,1,667.57,1858.24,923.27,1867.66,1990.96,29.59,23.56,81.16,7.39,6.85,26.34,21.2,51.77,1010.92,9.82,20.88,1.75,17.65,37.67,43.29
2027,2,322.18,1875.48,951.53,1874.0,2056.78,29.47,23.84,82.05,6.21,7.21,20.69,22.02,52.47,1009.83,9.58,23.58,1.81,17.46,38.09,44.99
2027,3,1166.58,1884.84,905.87,1902.41,2067.34,32.24,24.61,79.68,9.81,6.96,21.52,20.47,60.65,1009.05,9.86,25.19,1.5,16.84,38.87,45.3
