year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,severerisk,conditions,farmgate_corngrains_price,wholesale_corngrits_price,wholesale_corngrains_price
2025,4,2596.26,1647.44,847.17,1737.12,1907.15,32.62,25.19,82.89,8.5,7.16,20.65,19.23,115.91,1009.69,9.91,28.25,1.38,17.73,36.9,29.88
2025,5,2613.17,1665.55,852.95,1746.87,1893.32,32.01,25.09,83.78,9.62,7.26,22.93,18.18,131.95,1009.07,10.25,28.5,1.47,16.95,37.82,29.47
2025,6,2269.12,1673.57,854.35,1765.95,1887.49,31.24,24.65,83.22,10.1,6.71,21.71,18.58,149.82,1009.38,9.88,27.99,1.68,16.45,37.03,29.98
2025,7,2310.24,1678.05,848.45,1760.92,1912.33,31.14,24.62,83.14,9.65,7.31,22.19,19.43,156.18,1009.32,9.91,28.52,1.43,16.06,36.21,29.19
2025,8,2367.17,1679.59,852.22,1762.69,1934.88,31.37,24.62,82.53,9.97,6.54,22.33,18.93,155.13,1009.51,9.65,27.65,1.4,16.12,35.99,28.8
2025,9,3212.17,1681.63,855.16,1760.47,1941.48,31.59,24.74,82.67,10.94,6.75,21.28,18.05,130.29,1009.06,9.67,29.34,1.43,16.42,36.06,29.04
2025,10,3232.71,1680.56,853.25,1759.67,1939.32,31.19,24.82,83.95,7.25,6.99,22.66,18.0,72.68,1008.42,9.85,28.77,1.51,16.22,35.69,29.26
2025,11,3245.8,1683.99,863.61,1769.71,1950.71,30.33,24.49,83.85,7.61,7.54,23.96,19.68,59.95,1009.02,9.76,25.54,1.7,16.2,35.33,29.01
2025,12,1145.92,1696.05,874.76,1782.88,1948.16,29.35,23.89,83.31,8.97,8.1,25.21,21.09,49.97,1010.64,9.66,21.77,1.4,16.19,36.11,30.58
2026,1,1262.19,1695.86,875.06,1782.92,1933.46,29.48,23.5,81.08,7.44,7.12,26.8,21.08,51.19,1010.87,9.88,21.13,1.78,16.9,37.33,30.3
2026,2,1166.57,1700.17,872.87,1789.59,1981.19,29.57,23.75,81.41,6.2,7.25,23.08,21.69,52.46,1009.95,9.72,23.43,1.81,17.26,37.96,30.42
2026,3,2728.46,1714.53,870.7,1798.71,2019.11,32.15,24.5,79.39,9.83,6.98,22.97,20.19,61.98,1009.17,9.95,25.04,1.51,17.76,38.61,31.57
2026,4,2727.65,1735.98,878.06,1817.07,2016.12,32.72,25.31,83.28,8.45,7.06,19.55,19.47,116.68,1009.78,9.8,28.86,1.36,18.17,38.02,31.8
2026,5,2740.27,1753.61,883.99,1825.41,1996.4,32.21,25.22,84.01,9.55,7.13,22.7,18.37,131.49,1008.99,10.19,28.93,1.45,17.27,39.05,31.35
2026,6,2430.55,1762.88,886.09,1847.81,1991.7,31.33,24.72,83.38,10.03,6.51,20.94,18.82,149.22,1009.43,9.78,28.45,1.67,16.82,38.29,32.12
2026,7,2471.15,1767.27,878.48,1841.78,2019.93,31.13,24.69,83.48,9.67,7.21,21.53,19.72,155.42,1009.31,9.81,29.01,1.42,16.39,37.51,31.21
2026,8,2532.72,1768.5,883.52,1843.37,2046.82,31.41,24.71,82.83,9.91,6.34,21.8,19.2,154.95,1009.52,9.53,27.95,1.38,16.5,37.26,30.72
2026,9,3348.99,1769.81,885.87,1839.35,2050.88,31.65,24.85,83.08,10.9,6.62,20.31,18.3,131.0,1009.02,9.58,30.08,1.43,16.78,37.3,30.92
2026,10,3366.51,1768.51,883.39,1838.41,2046.21,31.33,24.97,84.37,7.17,6.87,21.74,18.18,73.17,1008.28,9.74,29.53,1.5,16.57,36.88,31.21
2026,11,3374.8,1772.08,894.18,1849.73,2057.94,30.41,24.61,84.23,7.59,7.49,23.11,19.91,60.49,1008.96,9.66,26.0,1.68,16.57,36.49,30.92
2026,12,1305.63,1785.6,906.12,1864.07,2054.86,29.5,23.98,83.41,8.96,8.05,24.67,21.41,47.93,1010.78,9.56,22.12,1.39,16.5,37.33,32.72
2027,1,1441.62,1785.24,906.52,1863.78,2035.48,29.59,23.56,81.16,7.36,6.74,26.57,21.2,51.77,1010.92,9.82,21.49,1.75,17.29,38.64,32.28
2027,2,1308.56,1788.65,903.66,1869.66,2093.23,29.47,23.84,82.05,6.16,7.19,22.14,22.02,52.47,1009.83,9.58,24.08,1.81,17.6,39.23,32.28
2027,3,2866.46,1802.11,900.32,1877.43,2130.63,32.24,24.61,79.68,9.8,6.9,22.04,20.47,60.65,1009.05,9.86,25.6,1.5,18.06,39.82,33.54
