year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,temp,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,solarradiation,solarenergy,uvindex,severerisk,cloudcover,conditions,farmgate_corngrains_price,wholesale_corngrits_price,wholesale_corngrains_price
2025,1,2989.73,1554.16,784.23,1636.11,1786.14,27.25,29.28,23.37,80.71,7.61,100.0,7.5,26.6,21.37,51.11,1010.92,9.89,231.39,19.99,8.32,21.34,64.23,1.81,18.06,35.38,30.18
2025,2,3013.23,1583.52,789.59,1652.87,1825.23,27.44,29.61,23.58,80.51,6.37,100.0,7.28,23.31,21.71,52.97,1010.12,9.82,253.41,21.87,8.86,23.04,60.83,1.72,18.3,36.35,31.34
2025,3,2353.98,1593.04,789.07,1668.6,1848.74,28.64,31.99,24.31,78.75,9.9,100.0,7.05,23.61,20.18,63.88,1009.38,10.0,246.23,21.25,8.69,24.37,58.72,1.51,18.92,37.06,31.82
2025,4,2191.36,1610.59,789.25,1675.95,1846.93,28.57,32.57,25.12,82.61,8.56,100.0,7.13,20.06,19.5,115.79,1009.77,9.88,224.49,19.39,7.97,28.15,65.07,1.39,18.8,36.62,32.09
2025,5,2146.95,1627.56,794.18,1689.05,1835.29,28.29,31.96,25.03,83.48,9.63,100.0,7.25,22.62,18.47,132.13,1009.16,10.22,212.14,18.33,7.61,27.88,68.91,1.46,18.32,37.24,31.95
2025,6,6619.63,1630.39,795.8,1691.15,1833.66,27.97,31.2,24.59,82.92,10.13,100.0,6.69,21.38,18.83,150.12,1009.46,9.85,214.11,18.46,7.71,27.4,70.43,1.66,18.22,36.36,32.3
2025,7,6523.91,1633.98,798.46,1698.43,1856.35,27.9,31.09,24.56,82.89,9.73,100.0,7.3,22.35,19.64,156.57,1009.4,9.88,221.24,19.1,7.95,27.92,68.82,1.4,17.38,35.21,31.58
2025,8,6512.76,1639.93,799.4,1699.32,1875.34,28.05,31.31,24.56,82.26,10.0,100.0,6.53,22.37,19.15,155.42,1009.57,9.62,221.78,19.15,8.01,27.01,69.38,1.41,17.39,35.03,31.36
2025,9,4920.05,1650.0,798.6,1704.62,1880.23,28.13,31.52,24.67,82.4,11.01,100.0,6.74,21.48,18.29,130.31,1009.15,9.64,225.27,19.42,8.16,28.68,66.71,1.41,17.78,35.43,31.23
2025,10,5083.61,1647.36,801.27,1706.48,1881.16,27.96,31.12,24.74,83.65,7.27,100.0,6.98,22.6,18.31,72.8,1008.54,9.81,208.48,17.99,7.59,27.72,65.97,1.51,17.6,35.53,31.4
2025,11,5189.8,1645.03,804.25,1709.89,1887.28,27.62,30.24,24.4,83.53,7.67,100.0,7.52,23.18,19.97,60.21,1009.13,9.72,212.73,18.35,7.8,24.58,64.76,1.69,17.5,35.03,31.12
2025,12,2825.76,1651.55,812.53,1713.31,1890.2,27.23,29.34,23.84,82.92,9.08,100.0,8.1,25.2,21.4,51.05,1010.67,9.62,215.61,18.61,7.84,22.03,66.53,1.37,17.91,35.44,32.56
2026,1,2901.55,1635.38,803.36,1709.36,1882.04,27.29,29.38,23.42,80.74,7.53,100.0,7.11,26.3,21.51,51.68,1011.0,9.83,232.99,20.13,8.39,21.64,63.74,1.79,18.65,36.6,32.05
2026,2,2929.73,1666.46,808.78,1723.92,1931.24,27.35,29.48,23.66,81.13,6.33,100.0,7.23,22.32,22.06,52.93,1010.0,9.67,255.83,22.08,8.95,23.58,60.38,1.72,18.76,37.66,33.36
2026,3,2263.68,1675.04,808.77,1740.91,1953.81,28.68,32.07,24.41,78.97,9.88,100.0,6.97,22.74,20.47,62.64,1009.28,9.9,247.98,21.4,8.77,24.8,58.01,1.5,19.39,38.36,33.79
2026,4,2057.61,1691.85,809.09,1747.82,1947.93,28.6,32.65,25.23,82.95,8.51,100.0,7.03,18.88,19.76,116.47,1009.89,9.77,226.11,19.53,8.04,28.7,64.43,1.37,19.29,37.81,33.96
2026,5,2010.83,1709.39,813.82,1761.43,1933.94,28.38,32.15,25.15,83.65,9.56,100.0,7.12,22.33,18.69,131.67,1009.09,10.15,214.1,18.5,7.69,28.23,68.09,1.45,18.73,38.47,33.76
2026,6,6556.31,1713.13,815.33,1762.71,1932.03,28.01,31.28,24.65,83.01,10.06,100.0,6.48,20.55,19.1,149.55,1009.53,9.75,216.4,18.66,7.81,27.72,69.8,1.65,18.81,37.62,34.29
2026,7,6434.93,1716.26,818.44,1770.41,1957.32,27.88,31.07,24.62,83.18,9.77,100.0,7.2,21.7,19.94,155.87,1009.39,9.78,223.3,19.28,8.04,28.35,68.27,1.39,17.94,36.39,33.63
2026,8,6423.05,1722.41,819.33,1771.54,1979.57,28.06,31.34,24.64,82.5,9.93,100.0,6.33,21.83,19.43,155.24,1009.59,9.5,223.49,19.3,8.08,27.2,69.04,1.39,17.91,36.28,33.36
2026,9,4779.38,1732.19,817.49,1776.71,1981.92,28.13,31.56,24.76,82.77,10.97,100.0,6.6,20.47,18.56,130.95,1009.13,9.54,227.63,19.62,8.25,29.32,65.89,1.4,18.25,36.75,33.08
2026,10,4995.02,1729.16,820.49,1778.85,1984.37,28.0,31.23,24.87,84.01,7.18,100.0,6.85,21.67,18.53,73.28,1008.42,9.7,209.68,18.09,7.65,28.39,65.5,1.49,18.06,36.83,33.32
2026,11,5130.92,1726.2,824.17,1781.6,1988.66,27.65,30.31,24.51,83.85,7.65,100.0,7.46,22.19,20.24,60.77,1009.1,9.62,214.93,18.54,7.89,24.92,63.92,1.68,17.94,36.23,33.0
2026,12,2713.46,1735.37,833.33,1784.65,1988.59,27.32,29.51,23.93,82.94,9.09,100.0,8.05,24.72,21.72,49.04,1010.81,9.52,217.52,18.78,7.93,22.27,65.87,1.36,18.44,36.57,34.58
