year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,severerisk,conditions,retail_corngrits_price,wholesale_corngrits_price,wholesale_corngrains_price
2025,4,2695.79,1707.2,894.28,1787.85,1937.68,32.62,25.19,82.89,8.54,7.19,20.8,19.23,115.91,1009.69,9.91,27.35,1.38,38.92,36.25,31.61
2025,5,2679.4,1721.21,906.27,1807.66,1938.02,32.01,25.09,83.78,9.7,7.3,22.94,18.18,131.95,1009.07,10.25,27.41,1.47,38.8,36.97,31.84
2025,6,6097.14,1733.98,906.25,1817.76,1945.18,31.24,24.65,83.22,10.15,6.74,21.51,18.58,149.82,1009.38,9.88,28.7,1.68,38.7,36.12,32.26
2025,7,6043.38,1739.04,907.28,1819.19,1945.15,31.14,24.62,83.14,9.68,7.32,22.17,19.43,156.18,1009.32,9.91,29.07,1.43,37.98,35.07,31.25
2025,8,6075.62,1740.29,908.89,1818.12,1958.03,31.37,24.62,82.53,10.03,6.59,22.23,18.93,155.13,1009.51,9.65,28.24,1.4,37.28,34.76,31.17
2025,9,7268.64,1739.9,909.59,1821.17,1973.22,31.59,24.74,82.67,10.99,6.8,21.92,18.05,130.29,1009.06,9.67,29.6,1.43,37.34,34.87,31.04
2025,10,7325.19,1748.15,912.94,1827.11,1981.45,31.19,24.82,83.95,7.3,7.03,23.51,18.0,72.68,1008.42,9.85,29.0,1.51,37.39,34.89,31.61
2025,11,7366.39,1754.14,916.07,1830.08,1976.21,30.33,24.49,83.85,7.65,7.57,24.89,19.68,59.95,1009.02,9.76,25.65,1.7,37.2,34.46,31.36
2025,12,3002.88,1761.41,933.99,1840.19,1977.94,29.35,23.89,83.31,8.97,8.13,25.2,21.09,49.97,1010.64,9.66,21.11,1.4,37.55,35.12,32.38
2026,1,3129.99,1770.86,928.79,1839.16,1956.69,29.48,23.5,81.08,7.44,7.19,26.28,21.08,51.19,1010.87,9.88,20.78,1.78,37.97,35.97,32.09
2026,2,2990.23,1793.57,924.02,1835.61,1994.04,29.57,23.75,81.41,6.24,7.28,22.54,21.69,52.46,1009.95,9.72,22.6,1.81,38.57,36.67,32.88
2026,3,2846.24,1792.35,927.15,1857.51,2036.5,32.15,24.5,79.39,9.86,7.02,22.78,20.19,61.98,1009.17,9.95,24.07,1.51,39.5,37.18,33.54
2026,4,2722.76,1805.92,931.51,1874.5,2041.85,32.72,25.31,83.28,8.49,7.1,19.75,19.47,116.68,1009.78,9.8,27.82,1.36,39.99,37.33,33.5
2026,5,2706.86,1821.57,943.86,1894.81,2039.33,32.21,25.22,84.01,9.63,7.18,22.68,18.37,131.49,1008.99,10.19,27.64,1.45,39.81,38.07,33.82
2026,6,6202.17,1836.91,944.35,1905.74,2050.29,31.33,24.72,83.38,10.08,6.54,20.74,18.82,149.22,1009.43,9.78,29.05,1.67,39.81,37.27,34.48
2026,7,6130.37,1843.17,946.53,1907.57,2052.4,31.13,24.69,83.48,9.7,7.22,21.54,19.72,155.42,1009.31,9.81,29.42,1.42,39.08,36.16,33.27
2026,8,6169.24,1842.33,947.51,1905.39,2065.27,31.41,24.71,82.83,9.98,6.4,21.66,19.2,154.95,1009.52,9.53,28.41,1.38,38.34,35.86,33.2
2026,9,7298.86,1840.3,946.99,1908.18,2080.35,31.65,24.85,83.08,10.96,6.67,21.0,18.3,131.0,1009.02,9.58,30.16,1.43,38.42,36.0,32.91
2026,10,7373.74,1848.6,949.63,1913.95,2087.66,31.33,24.97,84.37,7.22,6.91,22.63,18.18,73.17,1008.28,9.74,29.61,1.5,38.45,35.98,33.63
2026,11,7425.49,1855.01,953.28,1916.86,2079.92,30.41,24.61,84.23,7.63,7.52,24.09,19.91,60.49,1008.96,9.66,25.91,1.68,38.25,35.52,33.35
2026,12,3097.7,1862.84,973.36,1928.52,2084.07,29.5,23.98,83.41,8.97,8.08,24.68,21.41,47.93,1010.78,9.56,21.32,1.39,38.63,36.22,34.52
2027,1,3253.79,1871.73,967.08,1927.14,2057.51,29.59,23.56,81.16,7.37,6.81,25.96,21.2,51.77,1010.92,9.82,21.07,1.75,39.03,37.1,34.08
2027,2,3064.88,1899.9,962.5,1923.14,2104.42,29.47,23.84,82.05,6.2,7.24,21.61,22.02,52.47,1009.83,9.58,23.09,1.81,39.63,37.79,34.91
2027,3,2898.09,1891.37,964.36,1944.08,2145.97,32.24,24.61,79.68,9.83,6.95,21.97,20.47,60.65,1009.05,9.86,24.41,1.5,40.6,38.24,35.53
