year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,severerisk,conditions,retail_corngrains_price,wholesale_corngrits_price,wholesale_corngrains_price
2025,4,1247.04,1695.37,866.79,1728.68,1873.26,32.62,25.19,82.89,8.58,7.18,20.43,19.23,115.91,1009.69,9.91,28.2,1.38,29.36,28.45,24.34
2025,5,1269.4,1715.92,876.54,1738.88,1868.56,32.01,25.09,83.78,9.66,7.3,22.48,18.18,131.95,1009.07,10.25,28.54,1.47,29.48,27.7,23.57
2025,6,2305.53,1717.09,877.46,1742.68,1869.07,31.24,24.65,83.22,10.18,6.74,21.91,18.58,149.82,1009.38,9.88,27.92,1.68,29.18,27.7,23.4
2025,7,2284.29,1723.67,871.37,1749.65,1885.84,31.14,24.62,83.14,9.71,7.34,22.0,19.43,156.18,1009.32,9.91,28.58,1.43,28.94,27.55,23.48
2025,8,2277.48,1739.22,878.95,1756.69,1895.16,31.37,24.62,82.53,10.03,6.61,22.41,18.93,155.13,1009.51,9.65,27.39,1.4,29.09,27.18,23.4
2025,9,2380.66,1739.52,874.36,1763.58,1908.0,31.59,24.74,82.67,10.99,6.81,22.04,18.05,130.29,1009.06,9.67,29.07,1.43,28.84,27.31,23.69
2025,10,2374.58,1740.11,875.01,1759.53,1915.36,31.19,24.82,83.95,7.29,7.04,23.45,18.0,72.68,1008.42,9.85,28.5,1.51,28.85,26.99,24.11
2025,11,2362.82,1740.91,884.86,1754.0,1916.21,30.33,24.49,83.85,7.64,7.58,24.07,19.68,59.95,1009.02,9.76,25.51,1.7,29.16,27.5,24.28
2025,12,1530.05,1755.74,901.36,1769.25,1921.5,29.35,23.89,83.31,8.93,8.15,24.94,21.09,49.97,1010.64,9.66,21.55,1.4,28.97,27.59,24.22
2026,1,1543.67,1752.48,897.24,1765.18,1908.46,29.48,23.5,81.08,7.39,7.18,25.99,21.08,51.19,1010.87,9.88,21.11,1.78,29.9,28.22,24.7
2026,2,1483.75,1762.25,915.16,1769.0,1953.86,29.57,23.75,81.41,6.24,7.32,21.6,21.69,52.46,1009.95,9.72,22.93,1.81,29.79,27.48,23.92
2026,3,1247.86,1775.7,882.97,1794.09,1969.37,32.15,24.5,79.39,9.86,7.02,21.99,20.19,61.98,1009.17,9.95,24.87,1.51,29.69,28.63,24.41
2026,4,1252.54,1794.68,901.77,1805.39,1976.42,32.72,25.31,83.28,8.53,7.08,19.28,19.47,116.68,1009.78,9.8,28.7,1.36,30.09,29.14,25.62
2026,5,1282.32,1816.91,912.5,1815.72,1969.75,32.21,25.22,84.01,9.59,7.18,22.24,18.37,131.49,1008.99,10.19,28.81,1.45,30.2,28.05,24.65
2026,6,2309.74,1817.71,913.83,1819.94,1970.41,31.33,24.72,83.38,10.12,6.54,21.11,18.82,149.22,1009.43,9.78,28.23,1.67,29.96,28.31,24.55
2026,7,2284.36,1824.37,905.39,1827.37,1988.67,31.13,24.69,83.48,9.73,7.24,21.28,19.72,155.42,1009.31,9.81,28.95,1.42,29.67,28.16,24.64
2026,8,2277.49,1842.73,915.41,1837.01,2001.2,31.41,24.71,82.83,9.97,6.42,21.81,19.2,154.95,1009.52,9.53,27.51,1.38,29.87,27.77,24.58
2026,9,2391.67,1839.82,907.2,1842.6,2012.62,31.65,24.85,83.08,10.95,6.68,21.03,18.3,131.0,1009.02,9.58,29.63,1.43,29.56,27.87,24.77
2026,10,2383.91,1840.74,908.86,1837.56,2018.86,31.33,24.97,84.37,7.22,6.92,22.49,18.18,73.17,1008.28,9.74,29.1,1.5,29.59,27.44,25.29
2026,11,2369.02,1839.92,919.41,1829.75,2018.31,30.41,24.61,84.23,7.63,7.53,23.14,19.91,60.49,1008.96,9.66,25.83,1.68,29.91,28.08,25.43
2026,12,1541.74,1856.63,937.0,1847.34,2025.14,29.5,23.98,83.41,8.92,8.1,24.44,21.41,47.93,1010.78,9.56,21.76,1.39,29.59,28.16,25.3
2027,1,1558.51,1854.69,933.05,1843.56,2007.22,29.59,23.56,81.16,7.32,6.81,25.72,21.2,51.77,1010.92,9.82,21.36,1.75,30.75,28.87,25.99
2027,2,1483.6,1864.18,952.19,1847.21,2060.88,29.47,23.84,82.05,6.2,7.28,20.52,22.02,52.47,1009.83,9.58,23.37,1.81,30.53,27.9,24.96
2027,3,1251.49,1876.06,912.57,1874.58,2075.28,32.24,24.61,79.68,9.83,6.94,21.05,20.47,60.65,1009.05,9.86,25.23,1.5,30.38,29.24,25.5
