year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,severerisk,conditions,farmgate_corngrains_price,retail_corngrains_price,wholesale_corngrits_price
2016,8,1798.88,884.26,537.41,1114.07,945.73,30.94,23.73,78.48,8.42,9.52,31.21,16.46,167.42,1011.19,10.03,23.47,1.07,12.67,23.05,21.94
2016,9,2059.92,879.23,533.55,1109.65,938.2,31.27,23.7,77.62,9.34,9.75,31.71,15.61,142.52,1010.78,10.0,23.91,1.0,12.51,23.28,22.02
2016,10,2042.74,867.38,527.56,1101.11,927.73,30.72,23.72,78.9,5.57,9.85,33.75,15.8,83.49,1010.56,10.23,22.83,0.97,12.65,23.27,21.84
2016,11,2020.31,858.18,528.45,1091.85,919.29,29.86,23.4,78.77,5.49,10.22,34.85,17.47,71.01,1011.12,10.1,21.35,1.22,12.83,23.72,22.42
2016,12,934.29,867.07,540.02,1098.84,913.81,28.73,22.82,78.56,6.78,10.46,33.66,18.83,64.94,1012.42,10.02,17.95,1.02,12.99,23.6,22.67
2017,1,945.46,861.52,541.51,1100.01,906.93,28.95,22.63,77.12,6.1,10.44,34.08,19.33,65.77,1012.4,10.18,17.94,1.57,13.32,24.23,23.41
2017,2,876.62,844.4,515.71,1087.6,901.61,29.18,22.59,75.83,4.84,9.81,31.28,19.45,68.56,1012.35,10.17,18.12,1.25,13.57,24.46,23.33
2017,3,752.89,850.14,523.21,1096.48,914.71,31.69,23.26,73.61,7.84,9.7,31.89,17.99,75.67,1011.42,10.33,20.19,1.16,13.84,25.12,23.66
2017,4,755.28,861.29,531.74,1104.02,926.47,32.24,24.17,77.92,6.26,9.93,29.56,17.22,127.74,1011.56,10.2,23.62,1.0,13.7,24.91,23.87
2017,5,778.15,871.27,537.39,1111.39,938.09,31.4,24.14,79.59,7.33,10.25,31.82,16.03,140.54,1011.04,10.56,23.56,0.96,13.7,24.81,22.9
2017,6,1751.16,871.76,537.03,1116.46,933.37,30.66,23.49,77.94,8.4,9.75,31.19,16.71,162.26,1011.55,10.16,23.23,1.19,13.13,24.38,23.24
2017,7,1747.26,861.86,527.65,1108.26,917.68,30.52,23.53,78.2,8.27,10.2,31.2,17.47,168.95,1011.43,10.15,23.6,0.89,12.93,23.91,23.1
2017,8,1737.35,858.63,527.56,1105.61,915.48,30.69,23.51,77.63,8.01,9.75,31.45,16.78,168.33,1011.76,9.85,23.04,0.96,13.15,24.03,22.55
2017,9,2019.22,851.97,522.27,1100.28,908.29,31.02,23.48,76.78,9.1,10.01,31.67,15.96,144.82,1011.25,9.84,23.73,0.92,12.92,24.27,22.55
2017,10,1996.52,837.81,515.86,1089.68,896.71,30.58,23.53,78.03,5.16,10.12,33.68,16.11,84.81,1011.04,10.06,22.6,0.88,13.09,24.25,22.24
2017,11,1967.07,827.67,518.69,1078.69,889.33,29.66,23.22,78.02,5.23,10.5,34.71,17.81,72.85,1011.64,9.94,21.09,1.12,13.27,24.75,22.97
2017,12,888.05,839.51,531.08,1088.39,884.56,28.6,22.63,77.55,6.5,10.71,33.79,19.18,63.63,1013.08,9.87,17.64,0.93,13.38,24.48,23.21
2018,1,904.56,839.7,535.47,1095.53,877.06,28.78,22.42,76.27,5.82,10.64,34.48,19.51,67.65,1012.91,10.05,17.69,1.46,13.74,25.23,24.01
2018,2,814.71,815.69,502.06,1075.78,869.37,28.77,22.32,75.12,4.43,10.08,31.19,19.88,69.85,1012.87,9.97,17.72,1.17,14.02,25.44,23.83
2018,3,699.81,821.72,512.06,1085.99,885.64,31.5,23.02,72.51,7.6,9.96,31.91,18.35,75.3,1011.87,10.17,19.88,1.07,14.3,26.16,24.27
2018,4,705.27,831.12,521.42,1092.11,895.5,32.09,24.0,77.18,5.93,10.2,29.28,17.54,129.73,1012.17,10.03,23.51,0.89,14.11,25.87,24.5
2018,5,736.69,843.0,528.16,1100.57,907.52,31.28,24.01,78.87,6.99,10.51,32.24,16.33,141.19,1011.51,10.43,23.2,0.87,14.15,25.75,23.13
2018,6,1695.92,846.22,528.86,1107.85,905.0,30.45,23.24,76.87,8.07,9.98,31.14,17.02,162.85,1012.17,9.99,22.89,1.1,13.52,25.4,23.87
2018,7,1684.55,835.13,517.49,1098.58,885.86,30.25,23.3,77.38,8.08,10.47,31.22,17.81,169.05,1011.94,9.99,23.38,0.8,13.36,24.89,23.79
