year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,temp,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,solarradiation,solarenergy,uvindex,severerisk,cloudcover,conditions,retail_corngrains_price,wholesale_corngrits_price,wholesale_corngrains_price
2025,1,1283.67,1528.93,785.8,1595.57,1831.43,27.25,29.28,23.37,80.71,7.52,100.0,7.49,26.91,21.37,51.11,1010.92,9.89,231.21,19.96,8.32,21.16,64.23,1.81,28.15,26.01,22.76
2025,2,1285.94,1528.63,783.13,1599.11,1867.56,27.44,29.61,23.58,80.51,6.32,100.0,7.32,23.81,21.71,52.97,1010.12,9.82,253.27,21.85,8.86,22.65,60.83,1.72,28.07,25.68,22.47
2025,3,1333.72,1543.06,780.41,1605.16,1900.2,28.64,31.99,24.31,78.75,9.87,100.0,7.07,23.79,20.18,63.88,1009.38,10.0,247.14,21.3,8.7,24.57,58.72,1.51,29.41,25.95,23.16
2025,4,1347.5,1579.32,782.51,1625.38,1899.03,28.57,32.57,25.12,82.61,8.48,100.0,7.15,19.62,19.5,115.79,1009.77,9.88,225.01,19.45,8.01,28.61,65.07,1.39,29.86,26.34,24.37
2025,5,1365.67,1590.76,790.15,1636.61,1885.37,28.29,31.96,25.03,83.48,9.55,100.0,7.26,22.07,18.47,132.13,1009.16,10.22,208.97,18.01,7.51,28.31,68.91,1.46,28.69,26.12,22.99
2025,6,1656.29,1514.9,769.8,1585.19,1877.62,27.97,31.2,24.59,82.92,10.08,100.0,6.7,21.14,18.83,150.12,1009.46,9.85,211.28,18.23,7.66,27.5,70.43,1.66,28.34,25.45,23.12
2025,7,1652.62,1602.96,788.57,1649.44,1900.86,27.9,31.09,24.56,82.89,9.76,100.0,7.3,22.06,19.64,156.57,1009.4,9.88,218.09,18.81,7.87,28.21,68.82,1.4,28.77,25.4,22.99
2025,8,1647.61,1605.33,789.63,1651.69,1921.58,28.05,31.31,24.56,82.26,9.93,100.0,6.56,21.61,19.15,155.42,1009.57,9.62,220.08,19.01,7.97,27.41,69.38,1.41,28.64,25.15,22.65
2025,9,1580.83,1581.4,783.21,1628.17,1930.02,28.13,31.52,24.67,82.4,10.95,100.0,6.77,20.86,18.29,130.31,1009.15,9.64,224.57,19.38,8.21,29.07,66.71,1.41,29.45,25.14,23.12
2025,10,1569.83,1603.04,791.23,1647.86,1929.3,27.96,31.12,24.74,83.65,7.2,100.0,7.0,22.86,18.31,72.8,1008.54,9.81,207.19,17.85,7.6,27.73,65.97,1.51,28.56,24.94,23.41
2025,11,1554.11,1600.99,798.9,1652.11,1941.73,27.62,30.24,24.4,83.53,7.61,100.0,7.55,23.99,19.97,60.21,1009.13,9.72,211.36,18.21,7.77,24.49,64.76,1.69,28.86,25.45,23.55
2025,12,1325.91,1609.11,807.15,1658.83,1941.36,27.23,29.34,23.84,82.92,8.96,100.0,8.11,25.54,21.4,51.05,1010.67,9.62,213.41,18.41,7.78,21.82,66.53,1.37,28.87,25.73,23.75
2026,1,1324.6,1601.55,804.87,1653.28,1928.75,27.29,29.38,23.42,80.74,7.43,100.0,7.1,26.6,21.51,51.68,1011.0,9.83,232.44,20.06,8.37,21.45,63.74,1.79,28.92,26.44,24.0
2026,2,1327.59,1599.58,801.51,1655.88,1974.45,27.35,29.48,23.66,81.13,6.27,100.0,7.27,22.88,22.06,52.93,1010.0,9.67,255.43,22.04,8.95,23.15,60.38,1.72,28.75,25.91,23.56
2026,3,1371.64,1616.87,799.34,1663.97,2008.19,28.68,32.07,24.41,78.97,9.85,100.0,6.98,22.85,20.47,62.64,1009.28,9.9,248.91,21.45,8.78,25.06,58.01,1.5,30.28,26.26,24.33
2026,4,1389.65,1662.35,803.5,1690.11,2004.52,28.6,32.65,25.23,82.95,8.42,100.0,7.05,18.41,19.76,116.47,1009.89,9.77,226.46,19.57,8.07,29.2,64.43,1.37,30.74,26.74,25.79
2026,5,1412.58,1667.86,810.19,1696.92,1984.67,28.38,32.15,25.15,83.65,9.47,100.0,7.14,21.76,18.69,131.67,1009.09,10.15,210.63,18.14,7.58,28.65,68.09,1.45,29.36,26.46,24.09
2026,6,1693.97,1575.51,786.82,1635.37,1977.49,28.01,31.28,24.65,83.01,10.0,100.0,6.49,20.37,19.1,149.55,1009.53,9.75,213.38,18.41,7.76,27.79,69.8,1.65,29.06,25.76,24.36
2026,7,1689.75,1680.08,807.69,1710.52,2003.75,27.88,31.07,24.62,83.18,9.81,100.0,7.2,21.48,19.94,155.87,1009.39,9.78,219.8,18.96,7.95,28.63,68.27,1.39,29.56,25.77,24.19
2026,8,1683.83,1682.31,809.34,1712.66,2028.11,28.06,31.34,24.64,82.5,9.86,100.0,6.36,20.95,19.43,155.24,1009.59,9.5,221.47,19.12,8.02,27.64,69.04,1.39,29.37,25.53,23.79
2026,9,1629.19,1655.27,802.38,1686.46,2035.54,28.13,31.56,24.76,82.77,10.91,100.0,6.63,19.8,18.56,130.95,1009.13,9.54,226.64,19.55,8.3,29.75,65.89,1.4,30.33,25.45,24.32
2026,10,1614.18,1678.73,810.65,1707.3,2032.64,28.0,31.23,24.87,84.01,7.11,100.0,6.88,21.95,18.53,73.28,1008.42,9.7,208.55,17.96,7.66,28.38,65.5,1.49,29.32,25.18,24.67
2026,11,1593.76,1675.32,818.27,1711.61,2046.15,27.65,30.31,24.51,83.85,7.59,100.0,7.5,23.06,20.24,60.77,1009.1,9.62,213.32,18.37,7.86,24.86,63.92,1.68,29.63,25.82,24.77
2026,12,1367.44,1683.69,826.39,1717.97,2042.84,27.32,29.51,23.93,82.94,8.96,100.0,8.06,25.0,21.72,49.04,1010.81,9.52,214.93,18.54,7.86,22.09,65.87,1.36,29.61,26.11,24.97
