year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,severerisk,conditions,farmgate_corngrains_price,wholesale_corngrits_price,wholesale_corngrains_price
2016,8,926.7,919.47,565.34,1167.49,1005.66,30.94,23.73,78.48,8.37,9.52,31.97,16.46,167.42,1011.19,10.03,23.3,1.07,12.84,22.01,12.52
2016,9,801.58,907.26,561.81,1158.05,999.03,31.27,23.7,77.62,9.29,9.74,32.42,15.61,142.52,1010.78,10.0,23.56,1.0,12.89,22.2,12.7
2016,10,781.85,896.45,551.71,1146.96,981.06,30.72,23.72,78.9,5.51,9.85,33.68,15.8,83.49,1010.56,10.23,22.5,0.97,13.04,22.14,12.89
2016,11,758.69,896.48,557.43,1151.48,981.52,29.86,23.4,78.77,5.44,10.21,34.85,17.47,71.01,1011.12,10.1,20.97,1.22,13.25,22.65,13.11
2016,12,459.61,903.5,564.88,1160.28,973.73,28.73,22.82,78.56,6.7,10.46,34.77,18.83,64.94,1012.42,10.02,18.06,1.02,13.44,22.86,13.32
2017,1,453.55,904.7,567.29,1162.39,965.07,28.95,22.63,77.12,6.01,10.45,35.26,19.33,65.77,1012.4,10.18,18.11,1.57,13.72,23.57,13.58
2017,2,440.64,882.99,544.88,1145.87,948.05,29.18,22.59,75.83,4.81,9.8,32.19,19.45,68.56,1012.35,10.17,18.48,1.25,13.83,23.34,13.29
2017,3,600.58,888.79,551.95,1152.54,979.61,31.69,23.26,73.61,7.74,9.68,33.26,17.99,75.67,1011.42,10.33,20.12,1.16,14.11,23.63,13.67
2017,4,613.9,904.31,560.21,1165.07,988.94,32.24,24.17,77.92,6.15,9.92,30.24,17.22,127.74,1011.56,10.2,23.53,1.0,13.91,23.81,13.63
2017,5,628.31,912.23,566.6,1173.5,981.04,31.4,24.14,79.59,7.29,10.24,32.61,16.03,140.54,1011.04,10.56,24.11,0.96,13.93,23.53,13.43
2017,6,879.74,919.48,569.45,1183.51,988.97,30.66,23.49,77.94,8.38,9.75,32.22,16.71,162.26,1011.55,10.16,22.99,1.19,13.46,23.17,13.3
2017,7,866.58,909.72,563.68,1175.87,985.55,30.52,23.53,78.2,8.33,10.2,31.94,17.47,168.95,1011.43,10.15,23.62,0.89,13.24,22.95,12.93
2017,8,848.57,900.75,560.94,1171.44,988.1,30.69,23.51,77.63,7.96,9.74,32.41,16.78,168.33,1011.76,9.85,22.94,0.96,13.29,22.62,12.86
2017,9,746.57,885.65,556.42,1158.74,980.43,31.02,23.48,76.78,9.04,10.0,32.5,15.96,144.82,1011.25,9.84,23.43,0.92,13.32,22.78,13.02
2017,10,720.27,873.79,545.74,1146.72,959.85,30.58,23.53,78.03,5.11,10.12,33.8,16.11,84.81,1011.04,10.06,22.31,0.88,13.48,22.62,13.23
2017,11,690.06,876.16,553.45,1154.2,962.7,29.66,23.22,78.02,5.18,10.49,34.82,17.81,72.85,1011.64,9.94,20.73,1.12,13.7,23.26,13.46
2017,12,389.78,886.78,563.08,1165.78,957.38,28.6,22.63,77.55,6.42,10.72,35.07,19.18,63.63,1013.08,9.87,17.81,0.93,13.84,23.48,13.69
2018,1,384.22,890.72,567.25,1170.22,947.56,28.78,22.42,76.27,5.74,10.65,35.82,19.51,67.65,1012.91,10.05,17.97,1.46,14.16,24.23,13.97
2018,2,370.25,859.41,536.49,1145.2,925.31,28.77,22.32,75.12,4.4,10.08,32.21,19.88,69.85,1012.87,9.97,18.18,1.17,14.26,23.83,13.57
2018,3,530.34,866.6,545.84,1152.93,962.25,31.5,23.02,72.51,7.49,9.94,33.45,18.35,75.3,1011.87,10.17,19.8,1.07,14.57,24.21,14.03
2018,4,549.63,884.44,556.41,1167.66,971.58,32.09,24.0,77.18,5.81,10.19,30.08,17.54,129.73,1012.17,10.03,23.4,0.89,14.33,24.42,13.99
2018,5,569.54,892.35,563.68,1175.92,959.55,31.28,24.01,78.87,6.94,10.5,33.22,16.33,141.19,1011.51,10.43,23.92,0.87,14.37,24.1,13.75
2018,6,806.03,902.99,567.79,1189.77,972.13,30.45,23.24,76.87,8.05,9.98,32.34,17.02,162.85,1012.17,9.99,22.67,1.1,13.88,23.74,13.7
2018,7,790.72,891.41,559.03,1179.57,965.51,30.25,23.3,77.38,8.14,10.47,32.04,17.81,169.05,1011.94,9.99,23.49,0.8,13.69,23.59,13.29
