year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,severerisk,conditions,farmgate_corngrains_price,retail_corngrains_price,wholesale_corngrits_price
2025,4,1560.02,1649.52,842.84,1718.42,1899.82,32.62,25.19,82.89,8.54,7.17,20.8,19.23,115.91,1009.69,9.91,27.51,1.38,15.53,29.43,26.07
2025,5,1595.31,1667.13,848.53,1728.52,1887.09,32.01,25.09,83.78,9.63,7.29,22.98,18.18,131.95,1009.07,10.25,27.7,1.47,15.29,28.39,25.91
2025,6,1828.72,1675.97,850.23,1746.21,1880.51,31.24,24.65,83.22,10.17,6.74,22.23,18.58,149.82,1009.38,9.88,27.38,1.68,15.41,27.99,25.36
2025,7,1833.0,1679.96,842.74,1741.41,1904.09,31.14,24.62,83.14,9.7,7.33,22.46,19.43,156.18,1009.32,9.91,28.01,1.43,14.94,28.45,25.28
2025,8,1829.0,1680.64,846.74,1742.75,1924.52,31.37,24.62,82.53,10.04,6.59,22.53,18.93,155.13,1009.51,9.65,26.9,1.4,14.76,28.27,24.94
2025,9,1836.32,1683.14,850.38,1741.44,1931.2,31.59,24.74,82.67,11.0,6.8,21.41,18.05,130.29,1009.06,9.67,28.66,1.43,14.73,28.94,24.88
2025,10,1806.51,1681.2,847.32,1739.79,1928.9,31.19,24.82,83.95,7.31,7.03,22.94,18.0,72.68,1008.42,9.85,28.15,1.51,14.72,28.22,24.6
2025,11,1774.5,1684.6,858.26,1748.84,1940.48,30.33,24.49,83.85,7.67,7.57,23.38,19.68,59.95,1009.02,9.76,25.06,1.7,14.94,28.46,25.32
2025,12,1544.18,1696.43,869.05,1761.38,1942.14,29.35,23.89,83.31,8.95,8.13,25.17,21.09,49.97,1010.64,9.66,21.7,1.4,15.38,28.49,25.48
2026,1,1538.24,1695.82,869.27,1760.43,1927.77,29.48,23.5,81.08,7.44,7.19,26.16,21.08,51.19,1010.87,9.88,21.18,1.78,15.63,28.68,26.24
2026,2,1597.06,1700.32,865.76,1766.03,1967.1,29.57,23.75,81.41,6.27,7.29,22.06,21.69,52.46,1009.95,9.72,23.49,1.81,15.83,28.37,25.5
2026,3,1602.87,1714.87,863.68,1775.47,2008.64,32.15,24.5,79.39,9.84,7.01,22.69,20.19,61.98,1009.17,9.95,24.78,1.51,15.25,29.67,25.97
2026,4,1649.99,1737.55,873.18,1794.25,2006.96,32.72,25.31,83.28,8.48,7.08,19.67,19.47,116.68,1009.78,9.8,28.04,1.36,15.91,30.18,26.38
2026,5,1693.33,1754.56,878.82,1802.95,1988.64,32.21,25.22,84.01,9.56,7.17,22.72,18.37,131.49,1008.99,10.19,27.97,1.45,15.59,28.95,26.19
2026,6,1900.19,1764.67,881.14,1823.51,1982.84,31.33,24.72,83.38,10.11,6.55,21.48,18.82,149.22,1009.43,9.78,27.79,1.67,15.93,28.64,25.64
2026,7,1905.93,1768.39,871.51,1817.92,2009.47,31.13,24.69,83.48,9.73,7.24,21.77,19.72,155.42,1009.31,9.81,28.49,1.42,15.32,29.16,25.61
2026,8,1901.08,1768.34,876.71,1818.74,2033.2,31.41,24.71,82.83,9.98,6.41,21.94,19.2,154.95,1009.52,9.53,27.1,1.38,15.1,28.91,25.26
2026,9,1940.56,1770.87,880.42,1816.44,2038.13,31.65,24.85,83.08,10.97,6.67,20.4,18.3,131.0,1009.02,9.58,29.31,1.43,15.06,29.69,25.11
2026,10,1899.54,1768.56,876.53,1814.2,2033.66,31.33,24.97,84.37,7.23,6.91,22.07,18.18,73.17,1008.28,9.74,28.83,1.5,15.0,28.88,24.76
2026,11,1856.98,1772.15,888.3,1824.53,2046.26,30.41,24.61,84.23,7.65,7.53,22.46,19.91,60.49,1008.96,9.66,25.4,1.68,15.25,29.12,25.65
2026,12,1622.14,1785.26,899.4,1838.28,2046.99,29.5,23.98,83.41,8.95,8.08,24.65,21.41,47.93,1010.78,9.56,21.98,1.39,15.79,29.13,25.8
2027,1,1614.15,1784.37,899.75,1836.96,2028.21,29.59,23.56,81.16,7.37,6.82,25.89,21.2,51.77,1010.92,9.82,21.48,1.75,16.06,29.4,26.64
2027,2,1687.32,1787.95,895.29,1841.56,2075.13,29.47,23.84,82.05,6.23,7.25,21.04,22.02,52.47,1009.83,9.58,24.09,1.81,16.26,28.97,25.64
2027,3,1683.03,1801.71,892.28,1849.91,2118.11,32.24,24.61,79.68,9.81,6.93,21.79,20.47,60.65,1009.05,9.86,25.25,1.5,15.38,30.4,26.22
