year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,severerisk,conditions,farmgate_corngrains_price,wholesale_corngrits_price,wholesale_corngrains_price
2016,8,2542.94,971.77,611.07,1181.64,1043.67,30.94,23.73,78.48,8.44,9.52,31.39,16.46,167.42,1011.19,10.03,23.33,1.07,12.79,21.94,12.9
2016,9,2213.57,967.63,603.73,1173.45,1037.55,31.27,23.7,77.62,9.35,9.74,31.42,15.61,142.52,1010.78,10.0,23.53,1.0,12.82,22.2,13.0
2016,10,2222.4,962.78,599.87,1169.9,1019.82,30.72,23.72,78.9,5.56,9.85,32.33,15.8,83.49,1010.56,10.23,22.47,0.97,13.03,22.06,13.25
2016,11,2222.56,958.88,598.56,1174.17,1015.49,29.86,23.4,78.77,5.47,10.21,33.59,17.47,71.01,1011.12,10.1,20.93,1.22,13.21,22.72,13.49
2016,12,2013.46,953.47,606.06,1177.82,1017.44,28.73,22.82,78.56,6.72,10.46,34.13,18.83,64.94,1012.42,10.02,17.51,1.02,13.36,22.83,13.69
2017,1,2015.47,959.79,610.41,1180.82,1012.64,28.95,22.63,77.12,6.0,10.44,35.03,19.33,65.77,1012.4,10.18,17.47,1.57,13.67,23.57,13.89
2017,2,1987.8,937.56,583.87,1159.58,996.62,29.18,22.59,75.83,4.82,9.8,31.73,19.45,68.56,1012.35,10.17,17.83,1.25,13.74,23.39,13.73
2017,3,2252.58,949.86,593.2,1168.26,1028.51,31.69,23.26,73.61,7.79,9.68,32.54,17.99,75.67,1011.42,10.33,19.44,1.16,14.01,23.62,14.01
2017,4,2246.51,962.83,602.85,1181.86,1036.32,32.24,24.17,77.92,6.19,9.92,29.74,17.22,127.74,1011.56,10.2,22.68,1.0,13.86,23.77,14.0
2017,5,2255.11,972.03,609.8,1190.56,1030.26,31.4,24.14,79.59,7.36,10.24,31.66,16.03,140.54,1011.04,10.56,23.98,0.96,13.88,23.48,13.88
2017,6,2650.6,975.31,612.45,1197.63,1033.21,30.66,23.49,77.94,8.47,9.74,30.9,16.71,162.26,1011.55,10.16,23.08,1.19,13.39,23.03,13.6
2017,7,2630.88,971.81,612.15,1192.55,1027.16,30.52,23.53,78.2,8.43,10.19,31.9,17.47,168.95,1011.43,10.15,22.85,0.89,13.25,22.93,13.3
2017,8,2629.04,962.87,611.6,1187.35,1032.16,30.69,23.51,77.63,8.02,9.74,31.78,16.78,168.33,1011.76,9.85,22.91,0.96,13.24,22.53,13.3
2017,9,2299.45,956.67,602.21,1177.22,1024.01,31.02,23.48,76.78,9.1,10.0,31.42,15.96,144.82,1011.25,9.84,23.21,0.92,13.21,22.78,13.37
2017,10,2311.51,951.17,599.04,1173.15,1009.94,30.58,23.53,78.03,5.15,10.12,32.19,16.11,84.81,1011.04,10.06,22.14,0.88,13.47,22.53,13.66
2017,11,2311.1,947.62,599.86,1178.38,1004.28,29.66,23.22,78.02,5.21,10.49,33.51,17.81,72.85,1011.64,9.94,20.55,1.12,13.65,23.35,13.89
2017,12,2102.62,947.71,609.82,1186.08,1006.98,28.6,22.63,77.55,6.43,10.72,34.42,19.18,63.63,1013.08,9.87,17.1,0.93,13.75,23.42,14.09
2018,1,2104.54,956.58,615.61,1192.54,1002.79,28.78,22.42,76.27,5.73,10.64,35.66,19.51,67.65,1012.91,10.05,17.14,1.46,14.1,24.22,14.32
2018,2,2069.07,924.74,579.27,1160.64,981.44,28.77,22.32,75.12,4.42,10.07,31.65,19.88,69.85,1012.87,9.97,17.38,1.17,14.15,23.88,14.1
2018,3,2339.72,938.2,592.6,1170.97,1018.04,31.5,23.02,72.51,7.54,9.95,32.62,18.35,75.3,1011.87,10.17,19.02,1.07,14.46,24.2,14.42
2018,4,2332.13,951.8,604.32,1186.63,1024.82,32.09,24.0,77.18,5.84,10.19,29.49,17.54,129.73,1012.17,10.03,22.38,0.89,14.27,24.38,14.41
2018,5,2343.41,963.39,611.78,1196.82,1019.07,31.28,24.01,78.87,7.02,10.5,32.12,16.33,141.19,1011.51,10.43,23.64,0.87,14.31,24.04,14.25
2018,6,2737.14,969.67,615.13,1206.83,1024.3,30.45,23.24,76.87,8.14,9.97,30.96,17.02,162.85,1012.17,9.99,22.63,1.1,13.78,23.58,14.03
2018,7,2717.77,964.09,613.65,1198.28,1013.86,30.25,23.3,77.38,8.24,10.46,32.14,17.81,169.05,1011.94,9.99,22.45,0.8,13.69,23.57,13.71
