year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,severerisk,conditions,farmgate_corngrains_price,retail_corngrains_price,wholesale_corngrits_price
2025,4,1574.92,1607.0,789.68,1674.69,1789.52,32.62,25.19,82.89,8.34,7.15,20.72,19.23,115.91,1009.69,9.91,27.54,1.38,16.06,23.64,24.51
2025,5,1578.87,1626.28,795.38,1686.7,1776.33,32.01,25.09,83.78,9.49,7.26,22.8,18.18,131.95,1009.07,10.25,27.85,1.47,15.8,23.86,24.35
2025,6,2085.44,1631.39,797.84,1698.46,1775.86,31.24,24.65,83.22,10.03,6.69,22.06,18.58,149.82,1009.38,9.88,27.57,1.68,15.5,23.85,23.75
2025,7,2072.98,1634.85,800.95,1702.57,1798.76,31.14,24.62,83.14,9.46,7.28,22.58,19.43,156.18,1009.32,9.91,27.94,1.43,15.43,23.74,23.62
2025,8,2055.86,1640.42,801.8,1702.88,1820.01,31.37,24.62,82.53,9.86,6.56,22.46,18.93,155.13,1009.51,9.65,27.14,1.4,15.23,23.91,23.32
2025,9,1341.44,1648.18,799.44,1702.86,1818.92,31.59,24.74,82.67,10.79,6.76,21.34,18.05,130.29,1009.06,9.67,28.81,1.43,15.02,23.88,23.5
2025,10,1363.11,1643.73,801.6,1702.99,1819.05,31.19,24.82,83.95,7.16,7.0,23.36,18.0,72.68,1008.42,9.85,28.06,1.51,15.23,23.99,23.14
2025,11,1370.08,1639.07,804.23,1708.94,1819.47,30.33,24.49,83.85,7.47,7.54,24.12,19.68,59.95,1009.02,9.76,25.13,1.7,15.39,24.3,23.78
2025,12,1461.6,1647.9,814.82,1719.59,1829.19,29.35,23.89,83.31,8.7,8.09,25.46,21.09,49.97,1010.64,9.66,21.43,1.4,15.7,23.92,23.91
2026,1,1448.56,1650.67,813.95,1719.65,1811.55,29.48,23.5,81.08,7.24,7.12,26.53,21.08,51.19,1010.87,9.88,21.06,1.78,15.93,24.37,24.54
2026,2,1412.52,1649.62,802.54,1718.49,1857.57,29.57,23.75,81.41,6.08,7.26,22.23,21.69,52.46,1009.95,9.72,23.53,1.81,16.04,24.41,23.98
2026,3,1581.37,1667.94,807.6,1732.71,1887.02,32.15,24.5,79.39,9.63,6.96,22.34,20.19,61.98,1009.17,9.95,24.66,1.51,15.92,24.93,24.33
2026,4,1570.28,1688.5,809.99,1747.92,1878.78,32.72,25.31,83.28,8.28,7.05,19.64,19.47,116.68,1009.78,9.8,28.08,1.36,16.56,24.74,24.68
2026,5,1576.64,1708.73,815.51,1759.68,1862.47,32.21,25.22,84.01,9.42,7.14,22.54,18.37,131.49,1008.99,10.19,28.17,1.45,16.22,24.96,24.51
2026,6,2078.24,1715.91,818.24,1773.94,1862.96,31.33,24.72,83.38,9.96,6.49,21.35,18.82,149.22,1009.43,9.78,28.0,1.67,15.95,25.01,23.87
2026,7,2063.8,1717.87,821.44,1776.88,1887.78,31.13,24.69,83.48,9.45,7.18,21.98,19.72,155.42,1009.31,9.81,28.36,1.42,15.91,24.89,23.78
2026,8,2043.21,1723.98,822.48,1777.4,1913.58,31.41,24.71,82.83,9.8,6.36,21.93,19.2,154.95,1009.52,9.53,27.37,1.38,15.68,25.07,23.48
2026,9,1335.03,1730.43,818.33,1775.11,1908.22,31.65,24.85,83.08,10.74,6.63,20.33,18.3,131.0,1009.02,9.58,29.45,1.43,15.38,24.96,23.65
2026,10,1363.39,1725.58,821.02,1775.62,1910.6,31.33,24.97,84.37,7.08,6.87,22.47,18.18,73.17,1008.28,9.74,28.74,1.5,15.64,25.14,23.18
2026,11,1372.36,1719.37,824.12,1781.49,1907.83,30.41,24.61,84.23,7.44,7.48,23.23,19.91,60.49,1008.96,9.66,25.47,1.68,15.82,25.44,23.95
2026,12,1453.69,1732.65,836.35,1794.91,1917.4,29.5,23.98,83.41,8.67,8.04,25.04,21.41,47.93,1010.78,9.56,21.72,1.39,16.16,25.02,24.08
2027,1,1438.56,1736.41,835.09,1795.74,1895.69,29.59,23.56,81.16,7.17,6.74,26.29,21.2,51.77,1010.92,9.82,21.37,1.75,16.43,25.53,24.76
2027,2,1397.45,1730.91,821.15,1790.96,1951.7,29.47,23.84,82.05,6.04,7.21,21.25,22.02,52.47,1009.83,9.58,24.14,1.81,16.48,25.55,24.02
2027,3,1578.63,1749.56,827.26,1804.84,1980.52,32.24,24.61,79.68,9.58,6.87,21.47,20.47,60.65,1009.05,9.86,25.06,1.5,16.19,26.09,24.45
