year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,severerisk,conditions,retail_corngrains_price,wholesale_corngrits_price,wholesale_corngrains_price
2025,4,-208.82,1703.81,904.75,1793.71,1950.94,32.62,25.19,82.89,8.58,7.13,20.43,19.23,115.91,1009.69,9.91,27.68,1.38,29.2,26.35,24.82
2025,5,-204.24,1715.83,916.21,1813.91,1951.0,32.01,25.09,83.78,9.66,7.24,22.74,18.18,131.95,1009.07,10.25,27.85,1.47,28.89,26.18,23.86
2025,6,-23.03,1725.78,914.84,1831.35,1959.79,31.24,24.65,83.22,10.16,6.68,21.7,18.58,149.82,1009.38,9.88,27.33,1.68,28.9,25.68,23.64
2025,7,-19.65,1730.29,915.82,1833.14,1959.88,31.14,24.62,83.14,9.74,7.27,22.26,19.43,156.18,1009.32,9.91,27.82,1.43,28.48,25.66,23.57
2025,8,-12.01,1733.24,917.38,1827.85,1976.19,31.37,24.62,82.53,10.0,6.53,22.47,18.93,155.13,1009.51,9.65,26.89,1.4,28.5,25.35,23.35
2025,9,36.37,1735.03,922.68,1829.12,1990.21,31.59,24.74,82.67,10.98,6.74,21.49,18.05,130.29,1009.06,9.67,28.51,1.43,28.53,25.42,23.85
2025,10,38.52,1743.75,927.91,1834.86,1999.2,31.19,24.82,83.95,7.28,6.97,23.76,18.0,72.68,1008.42,9.85,27.92,1.51,28.45,25.13,24.2
2025,11,35.63,1749.52,931.39,1839.71,1992.69,30.33,24.49,83.85,7.64,7.52,24.36,19.68,59.95,1009.02,9.76,24.76,1.7,28.67,25.72,24.32
2025,12,-103.27,1757.62,943.99,1856.86,2000.13,29.35,23.89,83.31,8.95,8.06,25.42,21.09,49.97,1010.64,9.66,21.63,1.4,28.67,25.94,24.31
2026,1,-110.07,1768.48,942.5,1856.91,1979.64,29.48,23.5,81.08,7.41,7.09,26.39,21.08,51.19,1010.87,9.88,21.0,1.78,29.1,26.56,24.82
2026,2,-162.78,1780.15,935.34,1846.62,2008.99,29.57,23.75,81.41,6.23,7.24,22.15,21.69,52.46,1009.95,9.72,23.22,1.81,29.25,25.89,24.18
2026,3,-253.61,1787.73,940.78,1865.03,2053.59,32.15,24.5,79.39,9.87,6.95,22.37,20.19,61.98,1009.17,9.95,24.79,1.51,30.3,26.49,24.85
2026,4,-258.41,1801.23,945.29,1881.38,2057.97,32.72,25.31,83.28,8.53,7.02,19.32,19.47,116.68,1009.78,9.8,28.12,1.36,29.84,26.79,26.31
2026,5,-251.6,1814.62,956.9,1902.15,2055.16,32.21,25.22,84.01,9.59,7.11,22.51,18.37,131.49,1008.99,10.19,28.07,1.45,29.43,26.62,25.1
2026,6,-76.06,1826.9,956.06,1923.02,2067.89,31.33,24.72,83.38,10.09,6.47,20.94,18.82,149.22,1009.43,9.78,27.61,1.67,29.59,26.06,24.95
2026,7,-70.08,1830.67,956.84,1923.79,2068.19,31.13,24.69,83.48,9.76,7.16,21.61,19.72,155.42,1009.31,9.81,28.12,1.42,29.13,26.1,24.88
2026,8,-59.4,1834.17,959.28,1917.81,2088.28,31.41,24.71,82.83,9.94,6.33,21.94,19.2,154.95,1009.52,9.53,26.98,1.38,29.15,25.79,24.61
2026,9,-17.18,1833.7,963.13,1917.08,2099.91,31.65,24.85,83.08,10.94,6.6,20.48,18.3,131.0,1009.02,9.58,29.04,1.43,29.18,25.8,25.14
2026,10,-13.19,1842.82,968.25,1922.57,2108.04,31.33,24.97,84.37,7.2,6.84,22.94,18.18,73.17,1008.28,9.74,28.51,1.5,29.11,25.43,25.56
2026,11,-16.02,1847.63,971.47,1927.21,2097.37,30.41,24.61,84.23,7.62,7.46,23.45,19.91,60.49,1008.96,9.66,25.01,1.68,29.31,26.16,25.65
2026,12,-146.65,1857.69,985.83,1948.72,2110.27,29.5,23.98,83.41,8.95,8.0,24.93,21.41,47.93,1010.78,9.56,21.82,1.39,29.26,26.39,25.58
2027,1,-155.96,1868.18,983.93,1948.09,2084.21,29.59,23.56,81.16,7.34,6.71,26.15,21.2,51.77,1010.92,9.82,21.16,1.75,29.76,27.07,26.21
2027,2,-220.56,1882.68,976.3,1935.76,2121.14,29.47,23.84,82.05,6.19,7.18,21.16,22.02,52.47,1009.83,9.58,23.68,1.81,29.87,26.16,25.36
2027,3,-302.58,1885.7,981.35,1952.67,2165.9,32.24,24.61,79.68,9.84,6.86,21.53,20.47,60.65,1009.05,9.86,25.12,1.5,31.03,26.88,26.12
