year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,temp,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,solarradiation,solarenergy,uvindex,severerisk,cloudcover,conditions,retail_corngrains_price,wholesale_corngrits_price,wholesale_corngrains_price
2025,1,4941.04,1685.78,857.32,1723.35,1835.05,27.25,29.28,23.37,80.71,7.59,100.0,7.45,26.47,21.37,51.11,1010.92,9.89,232.22,20.03,8.34,21.01,64.23,1.81,28.76,25.06,23.41
2025,2,4843.27,1704.43,857.5,1733.98,1871.76,27.44,29.61,23.58,80.51,6.36,100.0,7.3,23.09,21.71,52.97,1010.12,9.82,253.47,21.88,8.88,22.64,60.83,1.72,29.05,24.66,22.92
2025,3,4461.69,1714.05,851.9,1742.02,1895.05,28.64,31.99,24.31,78.75,9.89,100.0,7.04,23.38,20.18,63.88,1009.38,10.0,244.88,21.19,8.65,24.52,58.72,1.51,29.84,25.12,23.46
2025,4,4469.44,1732.07,858.12,1749.87,1897.07,28.57,32.57,25.12,82.61,8.54,100.0,7.13,20.41,19.5,115.79,1009.77,9.88,224.02,19.38,7.98,28.06,65.07,1.39,29.5,25.39,24.67
2025,5,4487.29,1748.74,864.2,1766.51,1887.16,28.29,31.96,25.03,83.48,9.6,100.0,7.25,22.81,18.47,132.13,1009.16,10.22,210.15,18.17,7.54,27.83,68.91,1.46,29.24,25.16,23.77
2025,6,6696.8,1752.42,865.18,1781.45,1892.33,27.97,31.2,24.59,82.92,10.11,100.0,6.66,21.69,18.83,150.12,1009.46,9.85,211.63,18.29,7.67,27.19,70.43,1.66,29.21,24.59,23.6
2025,7,6601.73,1756.86,863.06,1781.75,1905.22,27.9,31.09,24.56,82.89,9.7,100.0,7.28,22.23,19.64,156.57,1009.4,9.88,218.61,18.87,7.87,27.92,68.82,1.4,28.82,24.54,23.52
2025,8,6522.57,1758.06,866.63,1778.81,1921.82,28.05,31.31,24.56,82.26,9.98,100.0,6.53,22.02,19.15,155.42,1009.57,9.62,220.21,19.01,7.98,27.06,69.38,1.41,28.76,24.23,23.35
2025,9,5985.81,1774.56,869.24,1784.11,1934.5,28.13,31.52,24.67,82.4,10.99,100.0,6.74,21.79,18.29,130.31,1009.15,9.64,224.0,19.4,8.16,28.53,66.71,1.41,28.93,24.44,23.71
2025,10,5973.36,1780.19,870.32,1786.81,1942.78,27.96,31.12,24.74,83.65,7.25,100.0,6.98,23.34,18.31,72.8,1008.54,9.81,208.57,17.99,7.6,27.73,65.97,1.51,28.85,24.04,24.06
2025,11,5970.85,1784.94,875.35,1791.15,1941.28,27.62,30.24,24.4,83.53,7.65,100.0,7.53,24.05,19.97,60.21,1009.13,9.72,211.33,18.24,7.75,24.48,64.76,1.69,29.14,24.58,24.13
2025,12,4936.49,1787.26,888.19,1801.98,1945.78,27.23,29.34,23.84,82.92,9.01,100.0,8.08,24.86,21.4,51.05,1010.67,9.62,215.09,18.57,7.84,21.65,66.53,1.37,29.08,24.76,24.22
2026,1,4973.1,1790.25,889.53,1805.23,1935.04,27.29,29.38,23.42,80.74,7.51,100.0,7.05,26.18,21.51,51.68,1011.0,9.83,233.62,20.14,8.4,21.23,63.74,1.79,29.47,25.44,24.76
2026,2,4846.71,1812.24,889.68,1816.34,1981.91,27.35,29.48,23.66,81.13,6.31,100.0,7.25,22.12,22.06,52.93,1010.0,9.67,255.71,22.08,8.98,23.07,60.38,1.72,29.78,24.83,24.04
2026,3,4478.32,1820.24,882.25,1823.44,2004.46,28.68,32.07,24.41,78.97,9.87,100.0,6.95,22.5,20.47,62.64,1009.28,9.9,246.45,21.33,8.72,24.95,58.01,1.5,30.66,25.4,24.67
