year,month,corn_production,ammophos_price,ammosul_price,complete_price,urea_price,temp,feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,visibility,solarradiation,solarenergy,uvindex,severerisk,cloudcover,conditions,farmgate_corngrains_price,retail_corngrains_price,wholesale_corngrits_price
2025,1,4941.04,1673.92,869.08,1725.93,1834.41,27.25,29.28,23.37,80.71,7.54,100.0,7.45,26.29,21.37,51.11,1010.92,9.89,232.24,20.06,8.35,20.78,64.23,1.81,15.98,28.73,25.26
2025,2,4843.27,1682.35,868.75,1731.49,1868.97,27.44,29.61,23.58,80.51,6.37,100.0,7.29,22.95,21.71,52.97,1010.12,9.82,252.0,21.84,8.88,22.34,60.83,1.72,16.28,28.95,24.91
2025,3,4461.69,1692.69,862.26,1745.08,1892.95,28.64,31.99,24.31,78.75,9.95,100.0,7.03,23.35,20.18,63.88,1009.38,10.0,244.14,21.15,8.66,24.28,58.72,1.51,16.13,29.9,25.35
2025,4,4469.44,1709.97,868.89,1761.17,1894.98,28.57,32.57,25.12,82.61,8.55,100.0,7.12,20.22,19.5,115.79,1009.77,9.88,223.73,19.33,7.98,28.29,65.07,1.39,16.57,29.61,25.58
2025,5,4487.29,1727.68,875.24,1777.72,1886.21,28.29,31.96,25.03,83.48,9.62,100.0,7.23,22.56,18.47,132.13,1009.16,10.22,209.33,18.06,7.53,28.03,68.91,1.46,16.26,29.3,25.39
2025,6,6696.8,1736.63,877.02,1776.75,1891.0,27.97,31.2,24.59,82.92,10.12,100.0,6.65,21.61,18.83,150.12,1009.46,9.85,210.5,18.17,7.63,27.25,70.43,1.66,16.01,29.23,24.85
2025,7,6601.73,1739.37,874.87,1779.62,1903.47,27.9,31.09,24.56,82.89,9.72,100.0,7.26,22.08,19.64,156.57,1009.4,9.88,218.44,18.84,7.87,27.97,68.82,1.4,15.89,28.84,24.75
2025,8,6522.57,1736.85,878.7,1783.17,1919.4,28.05,31.31,24.56,82.26,9.99,100.0,6.52,21.97,19.15,155.42,1009.57,9.62,219.8,18.95,7.98,27.26,69.38,1.41,15.69,28.74,24.42
2025,9,5985.81,1751.35,881.51,1789.54,1932.07,28.13,31.52,24.67,82.4,11.01,100.0,6.73,21.34,18.29,130.31,1009.15,9.64,223.38,19.36,8.17,28.66,66.71,1.41,15.65,28.9,24.64
2025,10,5973.36,1756.59,882.22,1793.42,1939.63,27.96,31.12,24.74,83.65,7.26,100.0,6.96,23.26,18.31,72.8,1008.54,9.81,207.33,17.87,7.6,27.66,65.97,1.51,15.75,28.81,24.38
2025,11,5970.85,1757.37,887.37,1798.35,1939.35,27.62,30.24,24.4,83.53,7.66,100.0,7.51,24.03,19.97,60.21,1009.13,9.72,211.8,18.31,7.78,24.34,64.76,1.69,15.97,29.03,24.84
2025,12,4936.49,1769.88,902.13,1806.3,1943.18,27.23,29.34,23.84,82.92,9.04,100.0,8.07,24.92,21.4,51.05,1010.67,9.62,214.15,18.49,7.82,21.42,66.53,1.37,16.23,29.08,25.05
2026,1,4973.1,1776.73,904.03,1807.81,1932.98,27.29,29.38,23.42,80.74,7.45,100.0,7.05,25.96,21.51,51.68,1011.0,9.83,233.6,20.16,8.4,20.99,63.74,1.79,16.53,29.43,25.66
2026,2,4846.71,1785.0,903.46,1812.72,1977.31,27.35,29.48,23.66,81.13,6.33,100.0,7.23,21.97,22.06,52.93,1010.0,9.67,254.09,22.03,8.97,22.75,60.38,1.72,16.83,29.64,25.12
